Package,License,Application Compatibility Level
389-ds-base,GPL-3.0-or-later WITH GPL-3.0-389-ds-base-exception AND (0BSD OR Apache-2.0 OR MIT) AND (Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT) AND (Apache-2.0 OR BSD-2-Clause OR MIT) AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT OR Zlib) AND (Apache-2.0 OR MIT) AND (CC-BY-4.0 AND MIT) AND (MIT OR Apache-2.0) AND Unicode-3.0 AND (MIT OR CC0-1.0) AND (MIT OR Unlicense) AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MIT AND ISC AND MPL-2.0 AND PSF-2.0,2
389-ds-base-libs,GPL-3.0-or-later WITH GPL-3.0-389-ds-base-exception AND (0BSD OR Apache-2.0 OR MIT) AND (Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT) AND (Apache-2.0 OR BSD-2-Clause OR MIT) AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT OR Zlib) AND (Apache-2.0 OR MIT) AND (CC-BY-4.0 AND MIT) AND (MIT OR Apache-2.0) AND Unicode-3.0 AND (MIT OR CC0-1.0) AND (MIT OR Unlicense) AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MIT AND ISC AND MPL-2.0 AND PSF-2.0,2
389-ds-base-snmp,GPL-3.0-or-later WITH GPL-3.0-389-ds-base-exception AND (0BSD OR Apache-2.0 OR MIT) AND (Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT) AND (Apache-2.0 OR BSD-2-Clause OR MIT) AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT OR Zlib) AND (Apache-2.0 OR MIT) AND (CC-BY-4.0 AND MIT) AND (MIT OR Apache-2.0) AND Unicode-3.0 AND (MIT OR CC0-1.0) AND (MIT OR Unlicense) AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MIT AND ISC AND MPL-2.0 AND PSF-2.0,2
a52dec,GPLv2,2
aajohan-comfortaa-fonts,OFL,2
aardvark-dns,Apache-2.0 AND MIT AND Zlib,3
abattis-cantarell-fonts,OFL,2
accountsservice,GPLv3+,2
accountsservice-libs,GPLv3+,2
acpid,GPLv2+,2
adobe-mappings-cmap,BSD,2
adobe-mappings-cmap-deprecated,BSD,2
adobe-mappings-pdf,BSD,2
adwaita-cursor-theme,LGPLv3+ or CC-BY-SA,4
adwaita-gtk2-theme,LGPLv2+,4
adwaita-icon-theme,LGPLv3+ or CC-BY-SA,4
adwaita-qt5,LGPLv2+ and GPLv2+,2
afterburn,ASL 2.0 and MIT and BSD and zlib,Not Applicable
afterburn-dracut,ASL 2.0,Not Applicable
aide,GPLv2+,2
alsa-firmware,GPL+ and BSD and GPLv2+ and GPLv2 and LGPLv2+,Not Applicable
alsa-lib,LGPL-2.1-or-later,2
alsa-lib-devel,LGPL-2.1-or-later,2
alsa-plugins-arcamav,LGPLv2+,2
alsa-plugins-maemo,LGPLv2+,2
alsa-plugins-oss,LGPLv2+,2
alsa-plugins-pulseaudio,LGPLv2+,2
alsa-plugins-samplerate,GPLv2+,2
alsa-plugins-speex,LGPLv2+,2
alsa-plugins-upmix,LGPLv2+,2
alsa-plugins-usbstream,LGPLv2+,2
alsa-plugins-vdownmix,LGPLv2+,2
alsa-sof-firmware,BSD-3-Clause,Not Applicable
alsa-tools-firmware,GPLv2+,Not Applicable
alsa-ucm,BSD,2
alsa-utils,GPLv2+,2
anaconda,GPLv2+ and MIT,2
anaconda-core,GPLv2+ and MIT,2
anaconda-dracut,GPLv2+ and MIT,2
anaconda-gui,GPLv2+ and MIT,2
anaconda-install-env-deps,GPLv2+ and MIT,2
anaconda-install-img-deps,GPLv2+ and MIT,2
anaconda-tui,GPLv2+ and MIT,2
anaconda-user-help,CC-BY-SA,4
anaconda-widgets,GPLv2+ and MIT,2
annobin,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,4
annobin-annocheck,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,2
ansible-collection-microsoft-sql,MIT,2
ansible-collection-redhat-rhel_mgmt,GPLv3+,2
ansible-core,GPLv3+,3
ansible-freeipa,GPL-3.0-or-later,2
ansible-freeipa-collection,GPL-3.0-or-later,2
ansible-freeipa-tests,GPL-3.0-or-later,2
ansible-pcp,MIT,2
ansible-test,GPLv3+,3
ant,ASL 2.0,2
ant-antlr,ASL 2.0,2
ant-apache-bcel,ASL 2.0,2
ant-apache-bsf,ASL 2.0,2
ant-apache-oro,ASL 2.0,2
ant-apache-regexp,ASL 2.0,2
ant-apache-resolver,ASL 2.0,2
ant-apache-xalan2,ASL 2.0,2
ant-commons-logging,ASL 2.0,2
ant-commons-net,ASL 2.0,2
ant-javamail,ASL 2.0,2
ant-jdepend,ASL 2.0,2
ant-jmf,ASL 2.0,2
ant-jsch,ASL 2.0,2
ant-junit,ASL 2.0,2
ant-junit5,ASL 2.0,2
ant-lib,ASL 2.0,2
ant-openjdk11,ASL 2.0,2
ant-openjdk17,ASL 2.0,2
ant-openjdk21,ASL 2.0,2
ant-openjdk8,ASL 2.0,2
ant-swing,ASL 2.0,2
ant-testutil,ASL 2.0,2
ant-xz,ASL 2.0,2
anthy-unicode,LGPLv2+ and GPLv2 and Public Domain,2
antlr-tool,ANTLR-PD,2
apache-commons-cli,ASL 2.0,2
apache-commons-codec,ASL 2.0,2
apache-commons-io,ASL 2.0,2
apache-commons-lang3,ASL 2.0,2
apache-commons-logging,ASL 2.0,2
apache-commons-net,ASL 2.0,2
apcu-panel,PHP-3.01,2
