Package,License,Application Compatibility Level
389-ds-base,GPL-3.0-or-later WITH GPL-3.0-389-ds-base-exception AND (0BSD OR Apache-2.0 OR MIT) AND (Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT) AND (Apache-2.0 OR BSD-2-Clause OR MIT) AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT OR Zlib) AND (Apache-2.0 OR MIT) AND (CC-BY-4.0 AND MIT) AND (MIT OR Apache-2.0) AND Unicode-3.0 AND (MIT OR CC0-1.0) AND (MIT OR Unlicense) AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MIT AND ISC AND MPL-2.0 AND PSF-2.0,2
389-ds-base-libs,GPL-3.0-or-later WITH GPL-3.0-389-ds-base-exception AND (0BSD OR Apache-2.0 OR MIT) AND (Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT) AND (Apache-2.0 OR BSD-2-Clause OR MIT) AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT OR Zlib) AND (Apache-2.0 OR MIT) AND (CC-BY-4.0 AND MIT) AND (MIT OR Apache-2.0) AND Unicode-3.0 AND (MIT OR CC0-1.0) AND (MIT OR Unlicense) AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MIT AND ISC AND MPL-2.0 AND PSF-2.0,2
389-ds-base-snmp,GPL-3.0-or-later WITH GPL-3.0-389-ds-base-exception AND (0BSD OR Apache-2.0 OR MIT) AND (Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT) AND (Apache-2.0 OR BSD-2-Clause OR MIT) AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT OR Zlib) AND (Apache-2.0 OR MIT) AND (CC-BY-4.0 AND MIT) AND (MIT OR Apache-2.0) AND Unicode-3.0 AND (MIT OR CC0-1.0) AND (MIT OR Unlicense) AND 0BSD AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MIT AND ISC AND MPL-2.0 AND PSF-2.0,2
a52dec,GPL-2.0-only,2
aardvark-dns,Apache-2.0 AND MIT AND Zlib,3
accountsservice,GPL-3.0-or-later,2
accountsservice-libs,GPL-3.0-or-later,2
acpid,GPL-2.0-or-later,2
adobe-mappings-cmap,BSD-3-Clause,2
adobe-mappings-cmap-deprecated,BSD-3-Clause,2
adobe-mappings-pdf,BSD-3-Clause,2
adwaita-cursor-theme,LGPL-3.0-only OR CC-BY-SA-3.0,2
adwaita-icon-theme,LGPL-3.0-only OR CC-BY-SA-3.0,2
afterburn,Apache-2.0 AND 0BSD AND BSD-3-Clause AND MIT AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (MIT OR Apache-2.0 OR Zlib) AND (MPL-2.0 OR MIT OR Apache-2.0) AND (Unlicense OR MIT) AND Zlib,Not Applicable
afterburn-dracut,Apache-2.0,Not Applicable
aide,GPL-2.0-or-later,2
alsa-firmware,GPL-1.0-or-later AND BSD-3-Clause AND GPL-2.0-or-later AND GPL-2.0-only AND LGPL-2.1-or-later,Not Applicable
alsa-lib,LGPL-2.1-or-later,2
alsa-lib-devel,LGPL-2.1-or-later,2
alsa-plugins-arcamav,LGPL-2.1-or-later,2
alsa-plugins-maemo,LGPL-2.1-or-later,2
alsa-plugins-oss,LGPL-2.1-or-later,2
alsa-plugins-pulseaudio,LGPL-2.1-or-later,2
alsa-plugins-samplerate,GPL-2.0-or-later,2
alsa-plugins-speex,LGPL-2.1-or-later,2
alsa-plugins-upmix,LGPL-2.1-or-later,2
alsa-plugins-usbstream,LGPL-2.1-or-later,2
alsa-plugins-vdownmix,LGPL-2.1-or-later,2
alsa-sof-firmware,BSD-3-Clause,Not Applicable
alsa-tools-firmware,GPL-2.0-or-later,Not Applicable
alsa-ucm,BSD-3-Clause,2
alsa-ucm-utils,GPL-2.0-or-later,2
alsa-utils,GPL-2.0-or-later,2
amd-gpu-firmware,"Redistributable, no modification permitted",Not Applicable
anaconda,GPL-2.0-or-later,2
anaconda-core,GPL-2.0-or-later AND MIT,2
anaconda-dracut,GPL-2.0-or-later,2
anaconda-gui,GPL-2.0-or-later,2
anaconda-install-env-deps,GPL-2.0-or-later,2
anaconda-install-img-deps,GPL-2.0-or-later,2
anaconda-tui,GPL-2.0-or-later,2
anaconda-widgets,GPL-2.0-or-later,2
annobin-annocheck,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,2
annobin-docs,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,Not Applicable
annobin-libannocheck,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,2
annobin-plugin-clang,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,2
annobin-plugin-gcc,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,2
annobin-plugin-llvm,GPL-3.0-or-later AND LGPL-2.0-or-later AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND GFDL-1.3-or-later,2
ansible-collection-microsoft-sql,MIT,2
ansible-core,GPL-3.0-or-later AND BSD-2-Clause AND PSF-2.0 AND MIT AND Apache-2.0,3
