Package,License,Application Compatibility Level
accel-config,GPL-2.0-only,4
accel-config-libs,LGPL-2.1-only,4
acl,GPLv2+,2
acpica-tools,GPLv2,2
adcli,LGPLv2+,2
adobe-source-code-pro-fonts,OFL,2
alternatives,GPL-2.0-only,2
at,GPLv3+ and GPLv2+ and ISC and MIT and Public Domain,2
atlas,BSD,2
attr,GPLv2+,2
audispd-plugins,GPLv2+,2
audispd-plugins-zos,GPLv2+,2
audit,GPLv2+,2
audit-libs,LGPLv2+,2
authselect,GPLv3+,2
authselect-libs,GPLv3+,2
autofs,GPLv2+,2
avahi,LGPLv2+,4
avahi-libs,LGPLv2+,4
basesystem,Public Domain,2
bash,GPLv3+,2
bash-completion,GPLv2+,2
bc,GPLv2+,2
binutils,GPLv3+,2
binutils-gold,GPLv3+,2
biosdevname,GPLv2,2
bluez,GPLv2+,2
bluez-libs,GPLv2+,2
bolt,LGPLv2+,2
bubblewrap,LGPLv2+,3
bzip2,BSD,2
bzip2-libs,BSD,2
c-ares,MIT,2
ca-certificates,MIT AND GPL-2.0-or-later,Not Applicable
cachefilesd,GPLv2+,2
chkconfig,GPL-2.0-only,2
chrony,GPLv2,2
chrpath,GPL+,2
cifs-utils,GPLv3,2
cockpit,LGPL-2.1-or-later,2
cockpit-bridge,LGPL-2.1-or-later,2
cockpit-doc,LGPL-2.1-or-later,Not Applicable
cockpit-system,LGPL-2.1-or-later,2
cockpit-ws,LGPL-2.1-or-later,2
coreutils,GPLv3+,2
coreutils-common,GPLv3+,2
coreutils-single,GPLv3+,2
cpio,GPLv3+,2
cracklib,LGPLv2+,4
cracklib-dicts,LGPLv2+,4
cronie,MIT and BSD and ISC and GPLv2+,2
cronie-anacron,MIT and BSD and ISC and GPLv2+,2
cronie-noanacron,MIT and BSD and ISC and GPLv2+,2
crontabs,Public Domain and GPLv2,2
crypto-policies,LGPL-2.1-or-later,2
crypto-policies-scripts,LGPL-2.1-or-later,2
cryptsetup,GPLv2+ and LGPLv2+,4
cryptsetup-libs,GPLv2+ and LGPLv2+,4
cups-libs,LGPLv2 and zlib,2
curl,MIT,2
curl-minimal,MIT,2
cxl-libs,LGPLv2,2
cyrus-sasl,BSD with advertising,2
cyrus-sasl-gssapi,BSD with advertising,2
cyrus-sasl-lib,BSD with advertising,2
cyrus-sasl-plain,BSD with advertising,2
cyrus-sasl-scram,BSD with advertising,2
daxctl-libs,LGPLv2,2
dbus,(GPLv2+ or AFL) and GPLv2+,2
dbus-broker,ASL 2.0,2
dbus-common,(GPLv2+ or AFL) and GPLv2+,2
dbus-libs,(GPLv2+ or AFL) and GPLv2+,2
dbus-tools,(GPLv2+ or AFL) and GPLv2+,2
dejavu-sans-fonts,Bitstream Vera and Public Domain,2
dejavu-sans-mono-fonts,Bitstream Vera and Public Domain,2
dejavu-serif-fonts,Bitstream Vera and Public Domain,2
device-mapper,GPL-2.0-only,4
device-mapper-event,GPL-2.0-only,4
device-mapper-event-libs,LGPL-2.1-only,4
device-mapper-libs,LGPL-2.1-only,4
device-mapper-multipath,GPLv2,4
device-mapper-multipath-libs,GPLv2 and LGPLv2+,4
device-mapper-persistent-data,GPL-3.0-only AND (0BSD OR MIT OR Apache-2.0) AND Apache-2.0 AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND BSD-3-Clause AND MIT AND (MIT OR Apache-2.0) AND (MIT OR Zlib OR Apache-2.0) AND (Unlicense OR MIT) AND (Zlib OR Apache-2.0 OR MIT),2
dhcp-client,ISC,2
dhcp-common,ISC,2
dhcp-relay,ISC,2
dhcp-server,ISC,2
diffutils,GPLv3+,2
dmidecode,GPLv2+,2
dnf,GPLv2+,2
dnf-automatic,GPLv2+,2
dnf-data,GPLv2+,2
dnf-plugins-core,GPLv2+,2
dos2unix,BSD,2
dosfstools,GPLv3+,2
dracut,GPLv2+ and LGPLv2+ and GPLv2,2
dracut-config-generic,GPLv2+ and LGPLv2+ and GPLv2,2
